file,line,raw,context
src/components/study/InterventionPage.jsx,1645,700,"fontSize: 14, fontWeight: 700, color: '#1a1a18', marginBottom: 4, fontFamily: FONT,"
src/components/study/InterventionPage.jsx,1660,500,"fontSize: 14, fontWeight: 500, color: '#2c2c2a',"
src/components/study/InterventionPage.jsx,1665,600,"background: '#f0f7eb', borderColor: '#639922', color: '#3b6d11', fontWeight: 600,"
src/components/study/InterventionPage.jsx,1673,600,"fontSize: 13, fontWeight: 600, color: '#2c2c2a',"
src/components/study/InterventionPage.jsx,1723,500,"fontSize: 13, fontWeight: 500, color: '#2c2c2a', background: '#fff',"
src/components/study/InterventionPage.jsx,1727,600,"background: '#f0f7eb', borderColor: '#639922', color: '#3b6d11', fontWeight: 600,"
src/components/study/InterventionPage.jsx,1742,500,"padding: '14px 24px', fontSize: 15, fontWeight: 500,"
src/components/study/InterventionPage.jsx,1752,500,"padding: '14px 24px', fontSize: 15, fontWeight: 500,"
src/components/study/MidpointStep.jsx,525,600,"cardTitle: { margin: 0, fontSize: 16, fontWeight: 600, color: '#1a1a18', fontFamily: 'system-ui,sans-serif' },"
src/components/study/MidpointStep.jsx,531,700,"fontSize: 11, fontWeight: 700, padding: '2px 8px',"
src/components/study/MidpointStep.jsx,536,600,"marginLeft: 8, fontSize: 11, fontWeight: 600, color: '#3b6d11',"
src/components/study/MidpointStep.jsx,557,800,"fontSize: 16, fontWeight: 800, color: '#fff',"
src/components/study/MidpointStep.jsx,574,700,"fontSize: 11, fontWeight: 700, textTransform: 'uppercase', letterSpacing: '0.05em',"
src/components/study/MidpointStep.jsx,581,700,"resultNum: { fontWeight: 700, color: '#639922', minWidth: 24 },"
src/components/study/MidpointStep.jsx,590,700,"fontSize: 11, fontWeight: 700, textTransform: 'uppercase', letterSpacing: '0.08em',"
src/components/study/MidpointStep.jsx,594,800,"heroTitle: { fontSize: 24, fontWeight: 800, color: '#1a1a18', marginTop: 6, fontFamily: 'system-ui,sans-serif' },"
src/components/study/MidpointStep.jsx,601,700,"fontSize: 15, fontWeight: 700, color: '#3b6d11', marginBottom: 8,"
